Supplier,SupplierType,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore,LeadTime,FulfillmentRate,ResponseTime
Industrial Bearings Co Vendor-44,Bearings,98,3,6,78,3,89,3
North Bearings Vendor-45,Bearings,76,12,7,81,12,93,5
ProTool Manufacturing Vendor-46,Tools,98,1,3,95,8,93,1
Reliable Alloy Works Vendor-47,Steel,94,3,12,83,4,99,5
Apex Engineering Systems Vendor-48,Engineering,70,2,3,97,4,86,3
FoundryTech Castings Vendor-49,Castings,74,1,6,86,2,96,2
Punjab Rubber Industries Vendor-50,Rubber,81,9,15,88,11,89,2
Precision Casting Works Vendor-51,Castings,98,7,2,80,7,98,6
Industrial Elastomers Vendor-52,Rubber,75,12,3,87,2,100,2
Prime Rubber Components Vendor-53,Rubber,81,5,15,100,5,92,1
Prime Rubber Components Vendor-54,Rubber,80,5,15,77,6,96,6
Apex Engineering Systems Vendor-55,Engineering,80,1,3,83,4,93,1
Precision Fasteners Vendor-56,Fasteners,83,6,13,100,7,98,5
Industrial Bolt Works Vendor-57,Fasteners,98,10,5,83,2,98,1
Industrial Elastomers Vendor-58,Rubber,83,2,12,85,11,95,6
FastenPro Industries Vendor-59,Fasteners,86,5,12,88,7,97,6
North Bearings Vendor-60,Bearings,74,4,8,96,8,90,5
Motion Bearing Systems Vendor-61,Bearings,87,1,6,84,5,98,5
Precision Auto Systems Vendor-62,Auto Components,84,8,12,81,10,100,6
Guru Nanak Castings Vendor-63,Castings,79,9,12,95,11,95,1
Industrial Elastomers Vendor-64,Rubber,77,4,4,75,2,92,4
Industrial Bolt Works Vendor-65,Fasteners,83,11,11,81,8,100,4
RubberTech Solutions Vendor-66,Rubber,90,12,2,99,3,98,2
Northern Cast Components Vendor-67,Castings,84,1,10,82,3,99,2
Titan Tooling Solutions Vendor-68,Tools,87,10,7,99,9,98,5
ToolCraft Industries Vendor-69,Tools,93,8,9,83,5,93,5
ToolCraft Industries Vendor-70,Tools,78,8,3,97,6,92,3
DriveLine Products Vendor-71,Auto Components,98,9,3,79,4,92,4
Precision Casting Works Vendor-72,Castings,72,7,8,85,10,99,4
North India Alloys Vendor-73,Steel,96,7,8,99,11,85,5
Industrial Engineering Works Vendor-74,Engineering,70,6,6,99,8,98,5
Prime Rubber Components Vendor-75,Rubber,77,5,8,90,2,97,3
Northern Engineering Ltd Vendor-76,Engineering,96,8,4,94,10,85,4
Punjab Steel Works Vendor-77,Steel,90,7,4,89,4,86,3
JMD Manufacturing Support Vendor-78,Engineering,76,8,7,85,8,93,4
Industrial Bearings Co Vendor-79,Bearings,85,1,13,92,2,96,2
Doaba Fasteners Vendor-80,Fasteners,94,1,5,81,2,89,2
FoundryTech Castings Vendor-81,Castings,91,2,11,81,9,93,3
Northern Cast Components Vendor-82,Castings,89,12,13,78,4,94,1
Reliable Alloy Works Vendor-83,Steel,88,11,8,87,5,87,5
Punjab Rubber Industries Vendor-84,Rubber,92,5,15,96,11,88,5
Reliable Alloy Works Vendor-85,Steel,87,7,12,86,3,95,1
Industrial Engineering Works Vendor-86,Engineering,73,7,7,95,9,89,4
Northern Cast Components Vendor-87,Castings,90,5,11,100,10,100,4
Apex Engineering Systems Vendor-88,Engineering,78,6,15,82,3,93,4
Prime Rubber Components Vendor-89,Rubber,88,10,12,87,7,85,4
AutoTech Components Vendor-90,Auto Components,85,4,7,100,6,95,3
North Bearings Vendor-91,Bearings,70,9,5,77,5,98,4
Prime Rubber Components Vendor-92,Rubber,90,12,9,89,2,87,3
Prime Rubber Components Vendor-93,Rubber,92,4,6,96,11,96,4
Precision Auto Systems Vendor-94,Auto Components,93,9,7,86,9,93,3
BearingTech Industries Vendor-95,Bearings,73,12,5,85,3,90,2
Prime Rubber Components Vendor-96,Rubber,78,12,11,99,10,94,1
Industrial Elastomers Vendor-97,Rubber,77,6,4,84,2,89,3
Punjab Steel Works Vendor-98,Steel,87,5,13,79,12,100,1
Prime Metal Fabricators Vendor-99,Steel,79,8,9,89,7,90,1
Motion Bearing Systems Vendor-100,Bearings,73,2,8,90,3,86,2
Northern Cast Components Vendor-101,Castings,79,2,5,78,10,98,5
FlexiRubber Products Vendor-102,Rubber,82,8,9,84,11,98,3
Prime Metal Fabricators Vendor-103,Steel,93,2,14,81,12,91,3
Titan Fastening Systems Vendor-104,Fasteners,77,3,10,77,4,85,4
Titan Tooling Solutions Vendor-105,Tools,85,5,2,82,6,94,6
Apex Industrial Tools Vendor-106,Tools,91,4,6,100,12,91,4
Precision Fasteners Vendor-107,Fasteners,77,11,4,83,4,87,1
Elite Cast Products Vendor-108,Castings,89,12,15,93,6,99,1
ProTool Manufacturing Vendor-109,Tools,92,7,6,91,10,100,4
Precision Fasteners Vendor-110,Fasteners,71,7,13,85,11,93,1
Titan Fastening Systems Vendor-111,Fasteners,91,10,11,75,12,93,5
North India Alloys Vendor-112,Steel,85,9,12,89,6,90,5
Industrial Engineering Works Vendor-113,Engineering,72,8,7,88,7,95,6
Titan Fastening Systems Vendor-114,Fasteners,80,7,13,90,6,97,5
Steel Forge Solutions Vendor-115,Steel,72,6,6,85,3,97,5
Prime Metal Fabricators Vendor-116,Steel,84,7,2,81,10,96,5
Industrial Tool Works Vendor-117,Tools,94,1,5,83,10,89,3
Industrial Tool Works Vendor-118,Tools,73,1,12,94,5,90,3
Prime Metal Fabricators Vendor-119,Steel,83,2,5,78,9,88,6
FoundryTech Castings Vendor-120,Castings,99,12,6,91,6,98,4
ToolCraft Industries Vendor-121,Tools,84,9,4,87,5,89,1
Motion Bearing Systems Vendor-122,Bearings,80,9,6,75,6,94,5
ToolCraft Industries Vendor-123,Tools,84,9,9,86,7,97,4
AutoTech Components Vendor-124,Auto Components,92,4,11,87,5,98,1
Precision Auto Systems Vendor-125,Auto Components,92,7,8,96,12,89,4
North India Alloys Vendor-126,Steel,86,10,7,78,9,88,5
Apex Industrial Tools Vendor-127,Tools,93,3,8,95,4,87,4
Precision Bearings Ltd Vendor-128,Bearings,89,12,8,95,3,95,6
JMD Manufacturing Support Vendor-129,Engineering,90,12,14,90,10,86,5
Titan Fastening Systems Vendor-130,Fasteners,90,11,6,82,3,98,1
Industrial Bolt Works Vendor-131,Fasteners,75,12,6,75,2,95,1
Precision Bearings Ltd Vendor-132,Bearings,81,7,4,82,10,98,5
Precision Casting Works Vendor-133,Castings,75,2,11,87,11,92,4
Precision Casting Works Vendor-134,Castings,84,11,6,89,6,85,4
North Bearings Vendor-135,Bearings,75,2,9,86,11,94,6
JMD Manufacturing Support Vendor-136,Engineering,84,5,5,87,9,88,2
Apex Engineering Systems Vendor-137,Engineering,81,10,6,97,6,85,6
JMD Manufacturing Support Vendor-138,Engineering,70,10,15,96,2,100,3
FlexiRubber Products Vendor-139,Rubber,95,6,5,95,5,93,6
Guru Nanak Castings Vendor-140,Castings,98,11,12,76,6,99,1
AutoTech Components Vendor-141,Auto Components,72,5,7,98,8,90,2
Northern Cast Components Vendor-142,Castings,98,6,10,91,6,90,3
ProTool Manufacturing Vendor-143,Tools,93,6,14,78,9,87,2
Prime Rubber Components Vendor-144,Rubber,97,9,7,77,8,85,3
Industrial Bolt Works Vendor-145,Fasteners,81,11,13,96,6,97,6
Velocity Auto Parts Vendor-146,Auto Components,91,4,9,75,11,95,5
Punjab Rubber Industries Vendor-147,Rubber,90,8,13,84,12,98,1
Guru Nanak Castings Vendor-148,Castings,71,5,9,78,3,92,5
FoundryTech Castings Vendor-149,Castings,84,6,12,98,10,98,5
FoundryTech Castings Vendor-150,Castings,90,2,15,90,11,98,3
Reliable Alloy Works Vendor-151,Steel,76,8,9,82,7,88,6
Metro Auto Industries Vendor-152,Auto Components,98,11,7,76,8,93,2
Industrial Bolt Works Vendor-153,Fasteners,72,11,5,95,12,85,1
AutoTech Components Vendor-154,Auto Components,74,10,5,77,10,91,5
RubberTech Solutions Vendor-155,Rubber,80,3,14,94,2,93,2
Northern Cast Components Vendor-156,Castings,78,3,3,96,2,89,1
AutoTech Components Vendor-157,Auto Components,88,6,2,80,6,86,2
Apex Engineering Systems Vendor-158,Engineering,73,12,3,90,9,96,5
Industrial Bolt Works Vendor-159,Fasteners,86,4,11,76,12,94,4
Punjab Steel Works Vendor-160,Steel,85,7,8,96,3,100,6
Apex Industrial Tools Vendor-161,Tools,98,2,7,94,4,87,2
North Bearings Vendor-162,Bearings,90,10,10,97,7,97,5
Motion Bearing Systems Vendor-163,Bearings,86,10,8,78,3,91,4
ToolCraft Industries Vendor-164,Tools,83,6,15,89,8,98,6
FastenPro Industries Vendor-165,Fasteners,83,6,12,83,7,89,6
Apex Industrial Tools Vendor-166,Tools,72,2,3,88,3,96,2
Prime Metal Fabricators Vendor-167,Steel,87,9,7,96,3,98,3
Shakti Engineering Supplies Vendor-168,Engineering,79,10,6,86,3,91,2
ToolCraft Industries Vendor-169,Tools,97,2,7,92,7,88,3
Prime Rubber Components Vendor-170,Rubber,97,9,14,94,11,85,5
Industrial Bearings Co Vendor-171,Bearings,75,5,13,99,6,95,3
North India Alloys Vendor-172,Steel,97,3,11,96,8,87,2
Punjab Steel Works Vendor-173,Steel,93,9,5,87,8,99,3
Elite Cast Products Vendor-174,Castings,79,12,7,99,11,87,1
Precision Casting Works Vendor-175,Castings,94,10,2,96,3,93,4
Industrial Engineering Works Vendor-176,Engineering,89,8,8,83,5,88,3
Shakti Engineering Supplies Vendor-177,Engineering,79,11,12,93,9,94,1
Prime Rubber Components Vendor-178,Rubber,89,1,2,81,6,91,2
Precision Bearings Ltd Vendor-179,Bearings,80,2,2,90,8,90,2
Apex Engineering Systems Vendor-180,Engineering,92,4,10,92,12,96,1
Shakti Engineering Supplies Vendor-181,Engineering,83,1,9,77,7,98,5
Industrial Engineering Works Vendor-182,Engineering,79,2,8,75,7,90,5
ProTool Manufacturing Vendor-183,Tools,72,7,15,78,5,98,5
Apex Engineering Systems Vendor-184,Engineering,72,7,15,84,7,92,3
Guru Nanak Castings Vendor-185,Castings,86,11,3,91,10,91,3
AutoTech Components Vendor-186,Auto Components,77,2,4,83,5,90,5
Guru Nanak Castings Vendor-187,Castings,75,11,9,89,11,99,6
DriveLine Products Vendor-188,Auto Components,74,8,3,90,9,94,3
Reliable Alloy Works Vendor-189,Steel,86,2,6,89,9,86,1
DriveLine Products Vendor-190,Auto Components,72,11,15,77,11,97,4
Steel Forge Solutions Vendor-191,Steel,99,10,12,81,7,100,5
Guru Nanak Castings Vendor-192,Castings,84,2,14,85,3,90,1
Prime Rubber Components Vendor-193,Rubber,84,9,10,94,4,96,3
Motion Bearing Systems Vendor-194,Bearings,83,6,12,94,2,95,1
Velocity Auto Parts Vendor-195,Auto Components,87,11,8,84,6,89,3
Precision Fasteners Vendor-196,Fasteners,91,3,7,84,12,97,2
FastenPro Industries Vendor-197,Fasteners,87,7,12,100,7,89,6
Industrial Bolt Works Vendor-198,Fasteners,86,6,2,86,6,90,2
Precision Auto Systems Vendor-199,Auto Components,76,4,4,79,3,94,1
Reliable Alloy Works Vendor-200,Steel,98,10,4,94,8,89,2
Northern Cast Components Vendor-201,Castings,95,3,13,89,2,98,3
Prime Rubber Components Vendor-202,Rubber,89,5,14,98,9,92,5
Industrial Elastomers Vendor-203,Rubber,95,8,15,81,7,99,4
Motion Bearing Systems Vendor-204,Bearings,86,9,8,80,5,89,3
Steel Forge Solutions Vendor-205,Steel,97,6,10,78,10,88,3
Titan Fastening Systems Vendor-206,Fasteners,78,8,10,79,8,87,2
ProTool Manufacturing Vendor-207,Tools,99,1,8,76,8,96,2
Shakti Engineering Supplies Vendor-208,Engineering,81,4,2,85,3,95,2
Guru Nanak Castings Vendor-209,Castings,79,8,13,79,9,99,5
Punjab Steel Works Vendor-210,Steel,70,5,5,79,10,98,1
BearingTech Industries Vendor-211,Bearings,79,2,2,82,8,99,1
Industrial Bolt Works Vendor-212,Fasteners,89,9,2,95,10,92,6
Elite Cast Products Vendor-213,Castings,83,1,11,86,5,98,2
Precision Fasteners Vendor-214,Fasteners,81,2,10,92,10,85,4
Apex Industrial Tools Vendor-215,Tools,90,7,7,83,2,96,1
AutoTech Components Vendor-216,Auto Components,93,11,12,78,11,95,2
Reliable Alloy Works Vendor-217,Steel,87,6,15,95,4,99,6
ToolCraft Industries Vendor-218,Tools,95,3,3,97,9,86,3
Punjab Rubber Industries Vendor-219,Rubber,95,4,2,85,6,97,5
ProTool Manufacturing Vendor-220,Tools,71,11,5,84,7,86,6
DriveLine Products Vendor-221,Auto Components,73,6,8,87,9,97,3
FoundryTech Castings Vendor-222,Castings,92,8,7,100,10,93,1
Shakti Engineering Supplies Vendor-223,Engineering,83,10,15,80,10,94,3
Doaba Fasteners Vendor-224,Fasteners,80,11,6,84,9,98,2
ProTool Manufacturing Vendor-225,Tools,84,1,13,86,11,98,3
Punjab Steel Works Vendor-226,Steel,91,11,8,86,10,90,1
Northern Cast Components Vendor-227,Castings,91,8,2,79,3,92,6
DriveLine Products Vendor-228,Auto Components,82,10,2,94,4,99,3
Precision Auto Systems Vendor-229,Auto Components,94,2,11,79,10,96,4
DriveLine Products Vendor-230,Auto Components,77,2,2,98,4,100,5
Apex Engineering Systems Vendor-231,Engineering,73,5,14,83,9,91,5
Motion Bearing Systems Vendor-232,Bearings,76,2,4,77,9,90,6
Apex Industrial Tools Vendor-233,Tools,95,11,15,85,12,96,6
Precision Fasteners Vendor-234,Fasteners,87,5,6,80,12,90,3
Punjab Rubber Industries Vendor-235,Rubber,76,3,5,100,9,85,3
Precision Auto Systems Vendor-236,Auto Components,95,9,4,94,3,87,3
Industrial Engineering Works Vendor-237,Engineering,86,7,14,88,11,87,2
Velocity Auto Parts Vendor-238,Auto Components,84,8,12,91,7,89,5
Precision Casting Works Vendor-239,Castings,83,9,15,76,3,89,3
Precision Casting Works Vendor-240,Castings,80,12,5,86,10,94,1
BearingTech Industries Vendor-241,Bearings,90,9,6,79,12,94,5
Precision Fasteners Vendor-242,Fasteners,90,3,11,93,4,90,6
Metro Auto Industries Vendor-243,Auto Components,71,1,3,76,12,93,6
FlexiRubber Products Vendor-244,Rubber,83,10,12,75,9,94,6
Motion Bearing Systems Vendor-245,Bearings,77,11,8,84,9,87,6
North India Alloys Vendor-246,Steel,84,7,9,89,5,95,5
Elite Cast Products Vendor-247,Castings,97,12,7,98,7,97,2
Metro Auto Industries Vendor-248,Auto Components,87,2,7,82,9,88,3
ToolCraft Industries Vendor-249,Tools,74,2,2,84,8,98,2
Elite Cast Products Vendor-250,Castings,99,10,13,85,5,90,4
Industrial Tool Works Vendor-251,Tools,98,5,9,75,3,97,5
ToolCraft Industries Vendor-252,Tools,76,10,7,76,2,94,4
ProTool Manufacturing Vendor-253,Tools,87,1,15,78,8,89,3
Precision Auto Systems Vendor-254,Auto Components,81,1,8,76,11,91,3
Industrial Bearings Co Vendor-255,Bearings,82,9,9,99,10,93,5
Titan Fastening Systems Vendor-256,Fasteners,73,7,7,100,7,96,2
FlexiRubber Products Vendor-257,Rubber,86,7,10,76,2,86,2
Precision Auto Systems Vendor-258,Auto Components,86,8,4,94,10,89,3
AutoTech Components Vendor-259,Auto Components,82,10,13,84,11,95,5
Titan Tooling Solutions Vendor-260,Tools,79,8,15,75,7,95,6
Industrial Bolt Works Vendor-261,Fasteners,88,5,14,98,12,85,5
ProTool Manufacturing Vendor-262,Tools,90,10,11,82,2,100,2
Northern Engineering Ltd Vendor-263,Engineering,96,11,5,76,11,88,2
Steel Forge Solutions Vendor-264,Steel,80,7,4,88,5,98,5
Apex Industrial Tools Vendor-265,Tools,92,3,10,81,10,95,6
Titan Tooling Solutions Vendor-266,Tools,82,6,4,89,10,95,5
DriveLine Products Vendor-267,Auto Components,89,8,5,82,6,94,2
Precision Bearings Ltd Vendor-268,Bearings,92,4,13,97,9,95,4
Metro Auto Industries Vendor-269,Auto Components,99,12,6,84,3,97,4
AutoTech Components Vendor-270,Auto Components,79,1,6,97,3,96,4
Motion Bearing Systems Vendor-271,Bearings,76,4,15,92,6,93,2
Precision Fasteners Vendor-272,Fasteners,93,10,5,82,2,92,6
Punjab Rubber Industries Vendor-273,Rubber,73,7,7,97,9,88,6
Guru Nanak Castings Vendor-274,Castings,87,3,8,95,9,100,6
Industrial Elastomers Vendor-275,Rubber,80,5,12,76,3,92,5
North India Alloys Vendor-276,Steel,83,3,2,87,9,90,6
Industrial Bearings Co Vendor-277,Bearings,70,5,11,94,3,95,3
Titan Tooling Solutions Vendor-278,Tools,86,8,4,91,9,93,2
FastenPro Industries Vendor-279,Fasteners,75,12,9,95,6,90,1
DriveLine Products Vendor-280,Auto Components,88,11,14,81,4,97,4
Velocity Auto Parts Vendor-281,Auto Components,82,11,3,80,4,100,3
Punjab Rubber Industries Vendor-282,Rubber,78,7,5,89,6,95,3
Reliable Alloy Works Vendor-283,Steel,90,6,13,82,2,88,4
BearingTech Industries Vendor-284,Bearings,82,11,10,97,6,88,6
Precision Bearings Ltd Vendor-285,Bearings,89,4,5,79,9,89,4
Precision Auto Systems Vendor-286,Auto Components,92,9,9,99,10,91,2
Precision Fasteners Vendor-287,Fasteners,84,9,13,86,3,88,1
FlexiRubber Products Vendor-288,Rubber,87,3,4,85,10,99,1
FlexiRubber Products Vendor-289,Rubber,85,2,10,89,2,99,2
Industrial Engineering Works Vendor-290,Engineering,88,1,10,89,12,94,6
Steel Forge Solutions Vendor-291,Steel,78,1,13,81,11,87,1
JMD Manufacturing Support Vendor-292,Engineering,92,2,10,76,3,100,1
Motion Bearing Systems Vendor-293,Bearings,75,3,14,95,12,98,3
Industrial Engineering Works Vendor-294,Engineering,97,7,8,77,12,89,6
Velocity Auto Parts Vendor-295,Auto Components,75,9,8,91,4,92,1
Reliable Alloy Works Vendor-296,Steel,84,11,13,92,8,97,2
Prime Rubber Components Vendor-297,Rubber,81,3,6,81,3,86,6
Apex Engineering Systems Vendor-298,Engineering,94,1,5,81,3,88,5
Steel Forge Solutions Vendor-299,Steel,89,11,13,76,5,86,4
ToolCraft Industries Vendor-300,Tools,87,4,14,99,2,89,5
BearingTech Industries Vendor-301,Bearings,96,12,11,85,11,95,2
BearingTech Industries Vendor-302,Bearings,91,9,5,88,6,93,1
FoundryTech Castings Vendor-303,Castings,87,8,2,86,12,97,5
Precision Auto Systems Vendor-304,Auto Components,83,3,6,87,4,100,2
Industrial Elastomers Vendor-305,Rubber,97,12,4,100,9,86,5
Industrial Engineering Works Vendor-306,Engineering,87,9,4,87,5,93,2
Velocity Auto Parts Vendor-307,Auto Components,99,8,15,86,3,91,1
Motion Bearing Systems Vendor-308,Bearings,91,10,11,76,3,91,5
Prime Rubber Components Vendor-309,Rubber,76,6,6,75,5,91,6
Industrial Bolt Works Vendor-310,Fasteners,99,4,13,94,5,97,2
DriveLine Products Vendor-311,Auto Components,82,8,10,95,7,94,3
Metro Auto Industries Vendor-312,Auto Components,98,8,9,78,9,95,2
DriveLine Products Vendor-313,Auto Components,83,1,11,82,4,85,3
JMD Manufacturing Support Vendor-314,Engineering,74,4,7,82,8,92,4
DriveLine Products Vendor-315,Auto Components,94,8,13,95,9,99,2
AutoTech Components Vendor-316,Auto Components,74,12,10,90,4,86,5
Punjab Steel Works Vendor-317,Steel,96,11,2,99,2,98,2
Punjab Rubber Industries Vendor-318,Rubber,92,3,2,81,10,99,3
Prime Metal Fabricators Vendor-319,Steel,90,11,11,90,12,100,1
Prime Metal Fabricators Vendor-320,Steel,87,7,2,75,10,93,5
Industrial Bearings Co Vendor-321,Bearings,86,12,12,88,4,88,1
Precision Casting Works Vendor-322,Castings,76,10,10,83,7,93,4
FastenPro Industries Vendor-323,Fasteners,82,8,11,82,5,94,6
Doaba Fasteners Vendor-324,Fasteners,72,7,8,87,10,100,1
North India Alloys Vendor-325,Steel,72,8,15,88,12,95,5
Precision Fasteners Vendor-326,Fasteners,99,1,5,81,11,100,3
Punjab Steel Works Vendor-327,Steel,91,5,10,93,12,86,2
Velocity Auto Parts Vendor-328,Auto Components,76,10,4,99,8,87,3
Northern Cast Components Vendor-329,Castings,77,10,15,87,12,95,4
Guru Nanak Castings Vendor-330,Castings,86,12,7,76,3,98,2
FastenPro Industries Vendor-331,Fasteners,89,10,11,87,7,85,6
Motion Bearing Systems Vendor-332,Bearings,85,4,7,92,8,98,2
Shakti Engineering Supplies Vendor-333,Engineering,94,10,6,100,5,87,1
BearingTech Industries Vendor-334,Bearings,82,12,14,95,4,97,3
Velocity Auto Parts Vendor-335,Auto Components,72,1,6,89,7,93,1
Guru Nanak Castings Vendor-336,Castings,75,7,9,92,10,98,1
Punjab Steel Works Vendor-337,Steel,81,9,3,94,11,95,4
Reliable Alloy Works Vendor-338,Steel,83,7,14,77,10,92,5
FoundryTech Castings Vendor-339,Castings,75,3,6,84,6,100,2
Titan Fastening Systems Vendor-340,Fasteners,83,5,8,84,9,87,3
BearingTech Industries Vendor-341,Bearings,93,11,9,94,11,91,4
Titan Fastening Systems Vendor-342,Fasteners,79,1,8,85,11,97,3
ProTool Manufacturing Vendor-343,Tools,83,11,11,79,6,95,5
Prime Rubber Components Vendor-344,Rubber,80,3,8,85,6,100,5
Industrial Elastomers Vendor-345,Rubber,82,5,15,100,8,96,1
FlexiRubber Products Vendor-346,Rubber,87,3,12,99,10,85,6
ToolCraft Industries Vendor-347,Tools,84,5,15,97,3,98,6
ToolCraft Industries Vendor-348,Tools,90,5,5,83,12,89,6
Industrial Engineering Works Vendor-349,Engineering,72,8,11,90,11,97,5
Apex Engineering Systems Vendor-350,Engineering,71,6,13,100,10,87,1
Industrial Elastomers Vendor-351,Rubber,75,11,11,76,11,97,3
Shakti Engineering Supplies Vendor-352,Engineering,70,2,6,82,10,92,4
Precision Auto Systems Vendor-353,Auto Components,84,11,11,97,10,89,3
Steel Forge Solutions Vendor-354,Steel,73,5,8,77,3,89,3
Precision Bearings Ltd Vendor-355,Bearings,84,4,10,90,7,100,1
Industrial Tool Works Vendor-356,Tools,80,2,6,76,3,85,3
Titan Fastening Systems Vendor-357,Fasteners,99,12,5,91,4,90,3
Industrial Engineering Works Vendor-358,Engineering,77,7,12,80,4,98,4
Prime Metal Fabricators Vendor-359,Steel,98,4,9,93,8,97,1
RubberTech Solutions Vendor-360,Rubber,78,12,14,100,3,88,5
Elite Cast Products Vendor-361,Castings,80,4,9,78,6,100,5
Metro Auto Industries Vendor-362,Auto Components,82,10,8,93,3,96,3
Titan Tooling Solutions Vendor-363,Tools,75,11,13,100,6,87,6
Elite Cast Products Vendor-364,Castings,73,4,6,78,4,96,6
Northern Cast Components Vendor-365,Castings,82,7,11,79,11,97,4
FoundryTech Castings Vendor-366,Castings,90,9,13,95,4,90,4
BearingTech Industries Vendor-367,Bearings,75,6,15,89,11,86,3
Steel Forge Solutions Vendor-368,Steel,74,4,15,87,10,100,4
Industrial Tool Works Vendor-369,Tools,92,8,9,80,3,85,2
Industrial Bearings Co Vendor-370,Bearings,78,4,10,84,4,99,5
Titan Tooling Solutions Vendor-371,Tools,86,2,11,78,6,96,5
Steel Forge Solutions Vendor-372,Steel,87,4,8,78,12,92,3
Steel Forge Solutions Vendor-373,Steel,78,6,15,77,9,88,2
FlexiRubber Products Vendor-374,Rubber,92,6,15,97,11,98,2
Precision Casting Works Vendor-375,Castings,96,4,14,76,11,96,5
North Bearings Vendor-376,Bearings,87,3,7,97,6,94,5
North Bearings Vendor-377,Bearings,98,11,15,78,4,98,1
BearingTech Industries Vendor-378,Bearings,92,3,5,79,7,92,6
Industrial Engineering Works Vendor-379,Engineering,74,10,12,83,12,98,4
Apex Industrial Tools Vendor-380,Tools,90,2,8,91,6,96,4
ProTool Manufacturing Vendor-381,Tools,88,1,15,99,3,99,6
Velocity Auto Parts Vendor-382,Auto Components,95,9,8,81,8,91,4
Precision Bearings Ltd Vendor-383,Bearings,96,5,7,92,11,89,5
ProTool Manufacturing Vendor-384,Tools,98,11,14,76,2,88,6
Apex Industrial Tools Vendor-385,Tools,73,3,9,89,2,98,2
Elite Cast Products Vendor-386,Castings,75,5,3,95,7,93,1
AutoTech Components Vendor-387,Auto Components,71,7,12,84,5,98,6
Doaba Fasteners Vendor-388,Fasteners,70,4,9,77,4,92,5
Apex Industrial Tools Vendor-389,Tools,70,12,7,78,8,89,4
Titan Fastening Systems Vendor-390,Fasteners,82,2,13,100,3,88,3
DriveLine Products Vendor-391,Auto Components,74,7,14,99,4,89,1
Prime Metal Fabricators Vendor-392,Steel,90,3,9,86,5,89,4
ToolCraft Industries Vendor-393,Tools,72,2,4,99,3,97,3
JMD Manufacturing Support Vendor-394,Engineering,95,3,5,83,12,87,2
Industrial Bearings Co Vendor-395,Bearings,97,11,6,81,10,91,6
